Rk,Player,Tm,FantPos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,ScorTD,2PM,2PP,FantPT,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
221,Colby Parkinson,LAR,TE,26,9,4,0,0,0,0,0,0,0,,0,21,19,164,8.63,3,1,1,3,,,32.0,51.4,55.4,41.9,,33,,2025
222,Jonnu Smith,PIT,TE,30,11,4,0,0,0,0,0,3,17,5.67,0,41,29,184,6.34,2,1,0,2,,,32.0,61.1,64.1,46.6,,34,,2025
223,Davis Allen,LAR,TE,24,11,1,0,0,0,0,0,0,0,,0,20,16,133,8.31,3,0,0,3,,,31.0,47.3,50.3,39.3,,35,,2025
224,Dyami Brown,JAX,WR,26,10,6,0,0,0,0,0,5,26,5.2,0,36,19,219,11.53,1,0,0,1,,,31.0,49.5,52.5,40.0,,86,,2025
225,Tyler Higbee,LAR,TE,32,9,7,0,0,0,0,0,0,0,,0,30,20,190,9.5,2,0,0,2,,,31.0,51.0,54.0,41.0,,37,,2025
226,Darnell Washington,PIT,TE,24,11,8,0,0,0,0,0,0,0,,0,28,20,231,11.55,1,1,0,1,1.0,,31.0,51.1,54.1,41.1,,36,,2025
227,Calvin Ridley,TEN,WR,31,7,6,0,0,0,0,0,0,0,,0,36,17,303,17.82,0,0,0,0,,,30.0,47.3,50.3,38.8,,87,,2025
228,Brenton Strange,JAX,TE,25,6,6,0,0,0,0,0,0,0,,0,29,25,297,11.88,0,0,0,0,,,30.0,54.7,57.7,42.2,,38,,2025
229,KaVontae Turpin,DAL,WR,29,9,2,0,0,0,0,0,9,30,3.33,0,26,17,232,13.65,1,1,1,1,,,30.0,47.2,51.2,38.7,,88,,2025
230,Pat Bryant,DEN,WR,23,11,5,0,0,0,0,0,0,0,,0,25,15,231,15.4,1,0,0,1,,,29.0,44.1,47.1,36.6,,90,,2025
231,Cedric Tillman,CLE,WR,25,7,6,0,0,0,0,0,0,0,,0,31,17,174,10.24,2,0,0,2,,,29.0,46.4,49.4,37.9,,89,,2025
232,Isaiah Davis,NYJ,RB,23,11,0,0,0,0,0,0,26,137,5.27,0,21,15,118,7.87,0,0,0,0,1.0,,28.0,42.5,48.5,35.0,,63,,2025
233,Kendre Miller,NOR,RB,23,7,0,0,0,0,0,0,47,193,4.11,1,5,5,30,6.0,0,0,0,1,,,28.0,33.3,36.3,30.8,,62,,2025
234,Jaylin Noel,HOU,WR,23,11,3,0,0,0,0,0,4,9,2.25,0,27,20,213,10.65,1,0,0,1,,,28.0,48.2,51.2,38.2,,91,,2025
235,Austin Hooper,NWE,TE,31,11,6,0,0,0,0,0,0,0,,0,19,16,213,13.31,1,0,0,1,,,27.0,43.3,46.3,35.3,,39,,2025
236,Jaylin Lane,WAS,WR,23,11,3,0,0,0,0,0,1,7,7.0,0,30,16,225,14.06,0,3,1,1,,,27.0,43.2,47.2,35.2,,92,,2025
237,Tyler Lockett,2TM,WR,33,11,1,0,0,0,0,0,0,0,,0,36,22,209,9.5,0,0,0,1,,,27.0,48.9,51.9,37.9,,94,,2025
238,Josh Palmer,BUF,WR,26,8,5,0,0,0,0,0,0,0,,0,29,18,272,15.11,0,0,0,0,,,27.0,45.2,48.2,36.2,,93,,2025
239,Samaje Perine,CIN,RB,30,9,0,0,0,0,0,0,32,198,6.19,1,9,7,30,4.29,0,1,1,1,,,27.0,33.8,37.8,30.3,,64,,2025
240,Roman Wilson,PIT,WR,24,11,3,0,0,0,0,0,0,0,,0,19,12,166,13.83,2,1,1,2,,,27.0,38.6,42.6,32.6,,95,,2025
241,Daniel Bellinger,NYG,TE,25,11,7,0,0,0,0,0,0,0,,0,17,12,202,16.83,1,0,0,1,,,26.0,38.2,41.2,32.2,,40,,2025
242,Jackson Hawes,BUF,TE,25,11,5,0,0,0,0,0,0,0,,0,13,10,139,13.9,2,0,0,2,,,26.0,35.9,38.9,30.9,,41,,2025
243,Van Jefferson,TEN,WR,29,11,3,0,0,0,0,0,0,0,,0,34,18,200,11.11,1,0,0,1,,,26.0,44.0,47.0,35.0,,98,,2025
244,Christian Kirk,HOU,WR,29,7,2,0,0,0,0,0,0,0,,0,37,21,198,9.43,1,0,0,1,,,26.0,46.8,49.8,36.3,,99,,2025
245,Cole Kmet,CHI,TE,26,10,9,0,1,0,0,0,0,0,,0,29,17,195,11.47,1,0,0,1,,,26.0,42.5,45.5,34.0,,42,,2025
246,Dawson Knox,BUF,TE,29,11,8,0,0,0,0,0,0,0,,0,25,16,195,12.19,1,0,0,1,,,26.0,41.5,44.5,33.5,,43,,2025
247,Terry McLaurin,WAS,WR,30,4,4,0,0,0,0,0,0,0,,0,21,13,203,15.62,1,0,0,1,,,26.0,39.3,42.3,32.8,,96,,2025
248,Chris Moore,WAS,WR,32,10,5,0,0,0,0,0,1,9,9.0,0,22,10,192,19.2,1,0,0,1,,,26.0,36.1,39.1,31.1,,97,,2025
249,James Conner,ARI,RB,30,3,3,0,0,0,0,0,32,95,2.97,1,9,8,38,4.75,1,1,0,2,,,25.0,33.3,33.3,29.3,,65,,2025
250,Kirk Cousins,ATL,QB,37,4,2,48,75,449,2,1,5,9,1.8,0,0,0,0,,0,1,0,0,,,25.0,24.9,28.9,25.9,,43,,2025
251,Jahan Dotson,PHI,WR,25,11,5,0,0,0,0,0,0,0,,0,18,10,194,19.4,1,0,0,1,,,25.0,35.4,38.4,30.4,,100,,2025
252,Tyler Johnson,NYJ,WR,27,9,5,0,0,0,0,0,0,0,,0,16,10,187,18.7,1,0,0,1,,,25.0,34.7,37.7,29.7,,102,,2025
253,Brashard Smith,KAN,RB,22,11,0,0,0,0,0,0,29,87,3.0,0,26,19,161,8.47,0,1,0,0,,,25.0,43.8,46.8,34.3,,66,,2025
254,Jalen Tolbert,DAL,WR,26,10,6,0,0,0,0,0,0,0,,0,25,14,172,12.29,1,0,0,1,1.0,,25.0,39.2,42.2,32.2,,101,,2025
255,Mitchell Evans,CAR,TE,22,12,5,0,0,0,0,0,0,0,,0,15,11,118,10.73,2,0,0,2,,,24.0,34.8,37.8,29.3,,46,,2025
256,Michael Mayer,LVR,TE,24,9,9,0,0,0,0,0,0,0,,0,32,22,182,8.27,1,0,0,1,,,24.0,46.2,49.2,35.2,,45,,2025
