Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
417,Beaux Collins,NYG,WR,23,9,0,0,0,0,0,0,0,0,,0,6,2,25,12.50,0,0,0,0,,,3,4.5,4.5,3.5,,176,,CollBe00
418,KhaDarel Hodge,ATL,WR,30,10,1,0,0,0,0,0,0,0,,0,10,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,172,,HodgKh00
419,Jacoby Jones,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,25,25.00,0,0,0,0,,,3,3.5,3.5,3.0,,177,,JoneJa16
420,Gage Larvadain,CLE,WR,23,7,0,0,0,0,0,0,1,3,3.00,0,6,2,22,11.00,0,0,0,0,,,3,4.5,4.5,3.5,,178,,LarvGa00
421,James Mitchell,CAR,TE,26,3,0,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,87,,MitcJa00
422,Foster Moreau,NOR,TE,28,7,5,0,0,0,0,0,0,0,,0,6,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,88,,MoreFo00
423,Dare Ogunbowale,HOU,RB,31,11,0,0,0,0,0,0,3,18,6.00,0,6,5,36,7.20,0,1,1,0,,,3,8.4,9.4,5.9,,109,,OgunDa00
424,Dameon Pierce,HOU,RB,25,4,0,0,0,0,0,0,10,26,2.60,0,1,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,111,,PierDa01
425,Nikko Remigio,KAN,WR,26,11,0,0,0,0,0,0,1,11,11.00,0,1,1,21,21.00,0,1,0,0,,,3,4.2,4.2,3.7,,171,,RemiNi00
426,Xavier Restrepo,TEN,WR,23,1,0,0,0,0,0,0,0,0,,0,6,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,174,,RestXa00
427,Mason Tipton,NOR,WR,25,10,1,0,0,0,0,0,1,11,11.00,0,6,3,22,7.33,0,0,0,0,,,3,6.3,6.3,4.8,,170,,TiptMa00
428,Jordan Watkins,SFO,WR,23,3,0,0,0,0,0,0,0,0,,0,3,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,175,,WatkJo00
